id,category,url
0TO5w000000ZanLGAS,Connectors,https://domo-support.domo.com/s/topic/0TO5w000000ZanLGAS/connectors?language=en_US
0TO5w000000ZaoQGAS,API Connectors,https://domo-support.domo.com/s/topic/0TO5w000000ZaoQGAS
0TO5w000000ZapAGAS,Partition Connectors,https://domo-support.domo.com/s/topic/0TO5w000000ZapAGAS
0TO5w000000ZaoVGAS,Available Custom Connectors,https://domo-support.domo.com/s/topic/0TO5w000000ZaoVGAS
0TO5w000000ZaojGAC,Database Connectors,https://domo-support.domo.com/s/topic/0TO5w000000ZaojGAC
0TO5w000000ZaoyGAC,General Connect Info,https://domo-support.domo.com/s/topic/0TO5w000000ZaoyGAC
0TO5w000000ZapVGAS,Writeback Connectors,https://domo-support.domo.com/s/topic/0TO5w000000ZapVGAS
0TO5w000000ZaowGAC,File Connectors,https://domo-support.domo.com/s/topic/0TO5w000000ZaowGAC
0TO5w000000ZamoGAC,Creating Content In Domo,https://domo-support.domo.com/s/topic/0TO5w000000ZamoGAC/creating-content-in-domo?language=en_US
0TO5w000000ZanDGAS,Card And Dashboard Management,https://domo-support.domo.com/s/topic/0TO5w000000ZanDGAS
0TO5w000000ZaoEGAS,Sharing Access To Cards And Pages,https://domo-support.domo.com/s/topic/0TO5w000000ZaoEGAS
0TO5w000000ZaoNGAS,Visualization Cards,https://domo-support.domo.com/s/topic/0TO5w000000ZaoNGAS
0TO5w000000ZapOGAS,Visualization Card Details View Actions,https://domo-support.domo.com/s/topic/0TO5w000000ZapOGAS
0TO5w000000ZapBGAS,Powering Your Card,https://domo-support.domo.com/s/topic/0TO5w000000ZapBGAS
0TO5w000000ZaoeGAC,Chart Types,https://domo-support.domo.com/s/topic/0TO5w000000ZaoeGAC
0TO5w000000ZaoUGAS,Analyzer,https://domo-support.domo.com/s/topic/0TO5w000000ZaoUGAS
0TO5w000000ZaodGAC,Chart Properties,https://domo-support.domo.com/s/topic/0TO5w000000ZaodGAC
0TO5w000000ZanwGAC,Notebook Cards,https://domo-support.domo.com/s/topic/0TO5w000000ZanwGAC
0TO5w000000ZanZGAS,Doc Cards,https://domo-support.domo.com/s/topic/0TO5w000000ZanZGAS
0TO5w000000Zao4GAC,Poll Cards,https://domo-support.domo.com/s/topic/0TO5w000000Zao4GAC
0TO5w000000ZaoHGAS,Sumo Cards,https://domo-support.domo.com/s/topic/0TO5w000000ZaoHGAS
0TO5w000000ZanAGAS,Beast Mode,https://domo-support.domo.com/s/topic/0TO5w000000ZanAGAS
0TO5w000000ZdTCGA0,Variables,https://domo-support.domo.com/s/topic/0TO5w000000ZdTCGA0
0TO5w000000ZamwGAC,Release Notes,https://domo-support.domo.com/s/topic/0TO5w000000ZamwGAC/release-notes
0TO5w000000Zan7GAC,Archived Feature Release Notes,https://domo-support.domo.com/s/topic/0TO5w000000Zan7GAC
0TO5w000000ZanNGAS,Current Release Notes,https://domo-support.domo.com/s/topic/0TO5w000000ZanNGAS
